date,site,day_of_week,is_weekend,is_peak_season,order_volume,core_staff,temp_staff,total_staff,temp_staff_ratio,absenteeism_pct,labor_hours,units_processed,throughput_per_labor_hour,backlog_units,defect_rate_pct,on_time_dispatch_pct,safety_incident,late_dispatch_risk
2024-01-01,BIRM1,Monday,False,False,13443,176,52,228,0.228,8.63,1710.0,28662,16.76,0,1.74,97.93,0,0
2024-01-01,DONC3,Monday,False,False,12001,174,40,214,0.187,9.98,1605.0,20894,13.02,190,2.15,95.63,0,0
2024-01-01,LEEDS1,Monday,False,False,15218,215,62,277,0.224,10.33,2077.5,37563,18.08,0,1.77,96.33,0,0
2024-01-01,MANC2,Monday,False,False,14062,202,46,248,0.185,11.0,1860.0,29174,15.69,680,2.58,95.68,0,0
2024-01-01,PETE1,Monday,False,False,15414,214,17,231,0.074,7.81,1732.5,35295,20.37,0,2.54,96.87,0,0
2024-01-02,BIRM1,Tuesday,False,False,14526,175,28,203,0.138,10.83,1522.5,24433,16.05,89,2.02,97.46,0,0
2024-01-02,DONC3,Tuesday,False,False,10968,175,59,234,0.252,6.35,1755.0,23782,13.55,243,2.05,95.44,0,0
2024-01-02,LEEDS1,Tuesday,False,False,13961,215,52,267,0.195,6.67,2002.5,33836,16.9,0,2.47,96.05,0,0
2024-01-02,MANC2,Tuesday,False,False,13653,212,36,248,0.145,9.89,1860.0,31053,16.7,40,1.76,97.27,0,0
2024-01-02,PETE1,Tuesday,False,False,15232,206,55,261,0.211,11.58,1957.5,36582,18.69,0,2.53,93.67,0,1
2024-01-03,BIRM1,Wednesday,False,False,13452,169,17,186,0.091,9.3,1395.0,23092,16.55,280,2.47,95.88,0,0
2024-01-03,DONC3,Wednesday,False,False,12712,173,13,186,0.07,7.39,1395.0,21580,15.47,0,0.95,97.85,0,0
2024-01-03,LEEDS1,Wednesday,False,False,14264,223,41,264,0.155,7.78,1980.0,36615,18.49,87,1.54,95.96,0,0
2024-01-03,MANC2,Wednesday,False,False,14180,201,26,227,0.115,10.72,1702.5,27204,15.98,419,0.74,96.17,0,0
2024-01-03,PETE1,Wednesday,False,False,15454,210,62,272,0.228,9.04,2040.0,37728,18.49,366,2.05,96.93,0,0
2024-01-04,BIRM1,Thursday,False,False,13987,170,30,200,0.15,7.76,1500.0,26249,17.5,0,1.6,94.84,0,1
2024-01-04,DONC3,Thursday,False,False,11837,173,21,194,0.108,10.49,1455.0,19951,13.71,81,1.27,98.88,0,0
2024-01-04,LEEDS1,Thursday,False,False,14571,224,36,260,0.138,,1950.0,34917,17.91,0,1.15,97.66,0,0
2024-01-04,MANC2,Thursday,False,False,12662,203,32,235,0.136,9.43,1762.5,26821,15.22,27,1.55,96.95,0,0
2024-01-04,PETE1,Thursday,False,False,14415,199,35,234,0.15,7.74,1755.0,30709,17.5,311,1.73,95.11,0,1
2024-01-05,BIRM1,Friday,False,False,14757,168,52,220,0.236,5.87,1650.0,27384,16.6,177,2.66,97.36,0,0
2024-01-05,DONC3,Friday,False,False,11849,183,63,246,0.256,9.6,1845.0,27015,14.64,354,2.2,96.85,0,0
2024-01-05,LEEDS1,Friday,False,False,15291,214,42,256,0.164,7.29,1920.0,31599,16.46,232,1.7,95.28,0,1
2024-01-05,MANC2,Friday,False,False,14585,212,28,240,0.117,9.25,1800.0,28199,15.67,317,1.59,95.3,0,1
2024-01-05,PETE1,Friday,False,False,14670,213,50,263,0.19,9.49,1972.5,35881,18.19,829,3.12,94.13,0,1
2024-01-06,BIRM1,Saturday,True,False,7596,179,33,212,0.156,10.14,1590.0,28461,17.9,0,2.15,97.38,0,0
2024-01-06,DONC3,Saturday,True,False,7816,185,47,232,0.203,7.72,1740.0,25252,14.51,141,1.38,97.2,0,0
2024-01-06,LEEDS1,Saturday,True,False,7381,225,48,273,0.176,9.57,2047.5,34528,16.86,0,1.95,97.72,0,0
2024-01-06,MANC2,Saturday,True,False,6887,212,44,256,0.172,7.49,1920.0,29209,15.21,0,1.86,97.72,0,0
2024-01-06,PETE1,Saturday,True,False,8108,210,86,296,0.291,7.21,2220.0,40253,18.13,0,2.57,96.19,0,0
2024-01-07,BIRM1,Sunday,True,False,8259,169,56,225,0.249,7.3,1687.5,27710,16.42,0,2.0,95.7,0,0
2024-01-07,DONC3,Sunday,True,False,7555,177,35,212,0.165,8.57,1590.0,23553,14.81,0,1.95,94.17,0,1
2024-01-07,LEEDS1,Sunday,True,False,7200,226,22,248,0.089,9.5,1860.0,33792,18.17,0,1.48,98.14,0,0
2024-01-07,MANC2,Sunday,True,False,7382,210,40,250,0.16,7.85,1875.0,28679,15.3,0,2.13,95.83,0,0
2024-01-07,PETE1,Sunday,True,False,7585,209,62,271,0.229,8.57,2032.5,33502,16.48,0,1.66,96.3,0,0
2024-01-08,BIRM1,Monday,False,False,13641,171,40,211,0.19,10.99,1582.5,28902,18.26,182,1.89,96.47,0,0
2024-01-08,DONC3,Monday,False,False,13941,183,51,234,0.218,10.28,1755.0,25795,14.7,0,1.6,97.25,0,0
2024-01-08,LEEDS1,Monday,False,False,15336,220,90,310,0.29,8.9,2325.0,39826,17.13,0,2.25,94.48,0,1
2024-01-08,MANC2,Monday,False,False,12568,206,32,238,0.134,9.6,1785.0,28368,15.89,0,1.61,96.72,0,0
2024-01-08,PETE1,Monday,False,False,16573,202,34,236,0.144,10.73,1770.0,33108,18.71,0,1.4,96.79,0,0
2024-01-09,BIRM1,Tuesday,False,False,13663,166,41,207,0.198,5.47,1552.5,25436,16.38,0,2.72,96.12,0,0
2024-01-09,DONC3,Tuesday,False,False,11932,181,47,228,0.206,7.26,1710.0,25028,14.64,0,2.01,97.02,0,0
2024-01-09,LEEDS1,Tuesday,False,False,15882,216,32,248,0.129,8.25,1860.0,32519,17.48,150,2.21,96.55,0,0
2024-01-09,MANC2,Tuesday,False,False,12672,204,18,222,0.081,10.06,1665.0,26860,16.13,0,0.99,97.55,0,0
2024-01-09,PETE1,Tuesday,False,False,16056,214,44,258,0.171,8.76,1935.0,38948,20.13,53,2.23,96.09,0,0
2024-01-10,BIRM1,Wednesday,False,False,14593,167,33,200,0.165,7.85,1500.0,25228,16.82,0,1.47,95.39,0,0
2024-01-10,DONC3,Wednesday,False,False,12490,173,29,202,0.144,10.12,1515.0,23099,15.25,0,1.59,97.11,0,0
2024-01-10,LEEDS1,Wednesday,False,False,14952,229,60,289,0.208,8.71,2167.5,36591,16.88,0,1.77,95.44,0,0
2024-01-10,MANC2,Wednesday,False,False,12567,208,33,241,0.137,7.5,1807.5,30373,16.8,35,1.1,97.91,0,0
2024-01-10,PETE1,Wednesday,False,False,14673,211,52,263,0.198,8.92,1972.5,38003,19.27,0,1.74,95.65,0,0
2024-01-11,BIRM1,Thursday,False,False,13262,170,41,211,0.194,9.3,1582.5,26270,16.6,0,1.82,95.83,0,0
2024-01-11,DONC3,Thursday,False,False,12813,176,23,199,0.116,9.95,1492.5,22363,14.98,0,1.59,97.93,0,0
2024-01-11,LEEDS1,Thursday,False,False,14704,220,36,256,0.141,8.03,1920.0,33704,17.55,136,1.71,96.97,0,0
2024-01-11,MANC2,Thursday,False,False,12556,203,41,244,0.168,8.02,1830.0,29270,15.99,0,1.62,95.12,0,1
2024-01-11,PETE1,Thursday,False,False,14964,211,50,261,0.192,8.76,1957.5,33837,17.29,513,1.37,96.14,0,0
2024-01-12,BIRM1,Friday,False,False,13737,174,39,213,0.183,7.6,1597.5,26304,16.47,0,1.57,98.19,0,0
2024-01-12,DONC3,Friday,False,False,13165,183,45,228,0.197,9.76,1710.0,26540,15.52,0,2.47,94.57,0,1
2024-01-12,LEEDS1,Friday,False,False,13082,218,39,257,0.152,6.49,1927.5,34456,17.88,739,2.1,95.81,0,0
2024-01-12,MANC2,Friday,False,False,12701,205,46,251,0.183,9.32,1882.5,26134,13.88,84,2.35,96.44,1,0
2024-01-12,PETE1,Friday,False,False,14655,215,49,264,0.186,12.05,1980.0,35826,18.09,172,2.25,94.2,0,1
2024-01-13,BIRM1,Saturday,True,False,8355,175,35,210,0.167,8.83,1575.0,24971,15.85,97,2.1,96.04,0,0
2024-01-13,DONC3,Saturday,True,False,6425,172,44,216,0.204,9.39,1620.0,24541,15.15,233,1.89,95.5,0,0
2024-01-13,LEEDS1,Saturday,True,False,8999,216,51,267,0.191,7.54,2002.5,37438,18.7,422,2.68,94.58,0,1
2024-01-13,MANC2,Saturday,True,False,6910,203,21,224,0.094,9.8,1680.0,27849,16.58,192,1.11,96.23,0,0
